country,iso2,iso3,region,wb_econ,minage_fem_leg,minage_fem_pc,minage_fem_crlaw,minage_fem_any,protect_girl_13,protect_girl_15,protect_girl_17,except_crlaw,except_pc,except_preg,minage_mal_leg,minage_mal_pc,minage_mal_crlaw,minage_mal_any,protect_boy_13,protect_boy_15,protect_boy_17,legal_diff_leg,legal_diff_pc,minage_fem_loop,minage_mal_loop,loop_summ,minage_par_18_f_1995,minage_par_18_f_1996,minage_par_18_f_1997,minage_par_18_f_1998,minage_par_18_f_1999,minage_par_18_f_2000,minage_par_18_f_2001,minage_par_18_f_2002,minage_par_18_f_2003,minage_par_18_f_2004,minage_par_18_f_2005,minage_par_18_f_2006,minage_par_18_f_2007,minage_par_18_f_2008,minage_par_18_f_2009,minage_par_18_f_2010,minage_par_18_f_2011,minage_par_18_f_2012,minage_par_18_f_2013,minage_par_18_f_2014,minage_par_18_f_2015,minage_par_18_f_2016,minage_par_18_f_2017,minage_par_18_f_2018,minage_par_18_f_2019,minage_par_18_f_2020,minage_par_18_f_2021,minage_par_18_f_2022,minage_par_18_f_2023,minage_par_18_m_1995,minage_par_18_m_1996,minage_par_18_m_1997,minage_par_18_m_1998,minage_par_18_m_1999,minage_par_18_m_2000,minage_par_18_m_2001,minage_par_18_m_2002,minage_par_18_m_2003,minage_par_18_m_2004,minage_par_18_m_2005,minage_par_18_m_2006,minage_par_18_m_2007,minage_par_18_m_2008,minage_par_18_m_2009,minage_par_18_m_2010,minage_par_18_m_2011,minage_par_18_m_2012,minage_par_18_m_2013,minage_par_18_m_2014,minage_par_18_m_2015,minage_par_18_m_2016,minage_par_18_m_2017,minage_par_18_m_2018,minage_par_18_m_2019,minage_par_18_m_2020,minage_par_18_m_2021,minage_par_18_m_2022,minage_par_18_m_2023
Colombia,CO,COL,Americas,2,5,1,5,1,2,2,2,5,2,5,5,2,5,2,5,2,2,5,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,KM,COM,Sub-Saharan Africa,2,5,5,,1,,,,,3,5,5,5,,1,,,,5,5,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Democratic Republic of the Congo,CD,COD,Sub-Saharan Africa,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Republic of the Congo,CG,COG,Sub-Saharan Africa,2,5,5,5,1,3,3,3,5,3,5,5,5,5,1,3,3,3,2,2,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Costa Rica,CR,CRI,Americas,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Cote d'Ivoire,CI,CIV,Sub-Saharan Africa,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Croatia,HR,HRV,Europe & Central Asia,4,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CU,CUB,Americas,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cyprus,CY,CYP,Europe & Central Asia,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZ,CZE,Europe & Central Asia,4,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,5,3,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
